
==================== Benchmark Results ====================
 prompt_len  batch_size  max_tokens  optimized_tokens  naive_tokens  optimized_e2e  naive_e2e  speedup  throughput_opt  throughput_naive  ttft_opt  ttft_naive
          8           1           8                29             8       0.467912   0.124738    3.625       61.977503         64.134314  0.058489    0.015592
          8           1          16               106            16       0.271247   0.247315    6.625      390.787862         64.694841  0.016953    0.015457
          8           4           8               116            32       0.141845   0.118097    3.625      817.792079        270.964230  0.017731    0.014762
          8           4          16               424            64       0.311865   0.250818    6.625     1359.564572        255.164600  0.019492    0.015676
          8           8           8               232            64       0.164777   0.113382    3.625     1407.964927        564.462547  0.020597    0.014173
          8           8          16               848           128       0.422815   0.252982    6.625     2005.603615        505.965109  0.026426    0.015811
         32           1           8                27             8       0.140302   0.140544    3.375      192.442096         56.921508  0.017538    0.017568
         32           1          16                98            16       0.273769   0.269404    6.125      357.966463         59.390320  0.017111    0.016838
         32           4           8               108            32       0.155483   0.137833    3.375      694.607537        232.164812  0.019435    0.017229
         32           4          16               392            64       0.363731   0.273126    6.125     1077.718385        234.323875  0.022733    0.017070
         32           8           8               216            64       0.222155   0.138187    3.375      972.292142        463.139757  0.027769    0.017273
         32           8          16               784           128       0.540189   0.271744    6.125     1451.343727        471.031072  0.033762    0.016984
